Name,Pot,Inoculation,Polyculture,Water,Replicate,Biomass_g,Date_weighed
1_Inoc_inter_c_1_b,1,Inoc,Inter,Control,1,8.18535,10/2/2026
2_Inoc_inter_c_2_b,2,Inoc,Inter,Control,2,12.64813,10/2/2026
3_Inoc_inter_c_3_b,3,Inoc,Inter,Control,3,5.36718,10/2/2026
4_Inoc_inter_c_4_b,4,Inoc,Inter,Control,4,9.11633,10/2/2026
5_Inoc_inter_c_5_b,5,Inoc,Inter,Control,5,4.43043,10/2/2026
6_Inoc_inter_m_1_b,6,Inoc,Inter,Moderate,1,6.77404,10/2/2026
7_Inoc_inter_m_2_b,7,Inoc,Inter,Moderate,2,5.30238,10/2/2026
8_Inoc_inter_m_3_b,8,Inoc,Inter,Moderate,3,11.71158,10/2/2026
9_Inoc_inter_m_4_b,9,Inoc,Inter,Moderate,4,9.69346,10/2/2026
10_Inoc_inter_m_5_b,10,Inoc,Inter,Moderate,5,8.39204,10/2/2026
11_Inoc_inter_s_1_b,11,Inoc,Inter,Severe,1,5.27738,10/2/2026
12_Inoc_inter_s_2_b,12,Inoc,Inter,Severe,2,4.77939,10/2/2026
13_Inoc_inter_s_3_b,13,Inoc,Inter,Severe,3,2.26941,10/2/2026
14_Inoc_inter_s_4_b,14,Inoc,Inter,Severe,4,3.14112,10/2/2026
15_Inoc_inter_s_5_b,15,Inoc,Inter,Severe,5,5.02287,10/2/2026
16_Inoc_mono_c_1_b,16,Inoc,Mono,Control,1,9.06786,10/2/2026
17_Inoc_mono_c_2_b,17,Inoc,Mono,Control,2,10.65684,10/2/2026
18_Inoc_mono_c_3_b,18,Inoc,Mono,Control,3,11.45920,10/2/2026
19_Inoc_mono_c_4_b,19,Inoc,Mono,Control,4,10.08551,10/2/2026
20_Inoc_mono_c_5_b,20,Inoc,Mono,Control,5,11.52465,10/2/2026
21_Inoc_mono_m_1_b,21,Inoc,Mono,Moderate,1,9.98716,10/2/2026
22_Inoc_mono_m_2_b,22,Inoc,Mono,Moderate,2,10.65455,10/2/2026
23_Inoc_mono_m_3_b,23,Inoc,Mono,Moderate,3,10.20606,10/2/2026
24_Inoc_mono_m_4_b,24,Inoc,Mono,Moderate,4,7.08465,10/2/2026
25_Inoc_mono_m_5_b,25,Inoc,Mono,Moderate,5,11.91213,10/2/2026
26_Inoc_mono_s_1_b,26,Inoc,Mono,Severe,1,1.25847,10/2/2026
27_Inoc_mono_s_2_b,27,Inoc,Mono,Severe,2,1.39350,10/2/2026
28_Inoc_mono_s_3_b,28,Inoc,Mono,Severe,3,0.56621,10/2/2026
29_Inoc_mono_s_4_b,29,Inoc,Mono,Severe,4,1.81185,10/2/2026
30_Inoc_mono_s_5_b,30,Inoc,Mono,Severe,5,3.44808,10/2/2026
31_Strl_inter_c_1_b,31,Strl,Inter,Control,1,8.83247,10/2/2026
32_Strl_inter_c_2_b,32,Strl,Inter,Control,2,7.46331,10/2/2026
33_Strl_inter_c_3_b,33,Strl,Inter,Control,3,9.66360,10/2/2026
34_Strl_inter_c_4_b,34,Strl,Inter,Control,4,9.60534,10/2/2026
35_Strl_inter_c_5_b,35,Strl,Inter,Control,5,7.00765,10/2/2026
36_Strl_inter_m_1_b,36,Strl,Inter,Moderate,1,8.25587,10/2/2026
37_Strl_inter_m_2_b,37,Strl,Inter,Moderate,2,6.36912,10/2/2026
38_Strl_inter_m_3_b,38,Strl,Inter,Moderate,3,6.97937,10/2/2026
39_Strl_inter_m_4_b,39,Strl,Inter,Moderate,4,7.83799,10/2/2026
40_Strl_inter_m_5_b,40,Strl,Inter,Moderate,5,7.38511,10/2/2026
41_Strl_inter_s_1_b,41,Strl,Inter,Severe,1,4.48142,10/2/2026
42_Strl_inter_s_2_b,42,Strl,Inter,Severe,2,4.94662,10/2/2026
43_Strl_inter_s_3_b,43,Strl,Inter,Severe,3,1.49939,10/2/2026
44_Strl_inter_s_4_b,44,Strl,Inter,Severe,4,4.44991,10/2/2026
45_Strl_inter_s_5_b,45,Strl,Inter,Severe,5,5.25058,10/2/2026
46_Strl_mono_c_1_b,46,Strl,Mono,Control,1,7.78000,10/2/2026
47_Strl_mono_c_2_b,47,Strl,Mono,Control,2,2.34734,10/2/2026
48_Strl_mono_c_3_b,48,Strl,Mono,Control,3,8.98119,10/2/2026
49_Strl_mono_c_4_b,49,Strl,Mono,Control,4,7.14985,10/2/2026
50_Strl_mono_c_5_b,50,Strl,Mono,Control,5,8.71623,10/2/2026
51_Strl_mono_m_1_b,51,Strl,Mono,Moderate,1,9.16611,10/2/2026
52_Strl_mono_m_2_b,52,Strl,Mono,Moderate,2,8.21461,10/2/2026
53_Strl_mono_m_3_b,53,Strl,Mono,Moderate,3,12.34691,10/2/2026
54_Strl_mono_m_4_b,54,Strl,Mono,Moderate,4,10.72857,10/2/2026
55_Strl_mono_m_5_b,55,Strl,Mono,Moderate,5,6.31343,10/2/2026
56_Strl_mono_s_1_b,56,Strl,Mono,Severe,1,5.34412,10/2/2026
57_Strl_mono_s_2_b,57,Strl,Mono,Severe,2,2.57993,10/2/2026
58_Strl_mono_s_3_b,58,Strl,Mono,Severe,3,5.19016,10/2/2026
59_Strl_mono_s_4_b,59,Strl,Mono,Severe,4,5.01165,10/2/2026
60_Strl_mono_s_5_b,60,Strl,Mono,Severe,5,5.60344,10/2/2026
