Name,Biomass_g,Date_weighed
1_Inoc_inter_c_1_f,1.84,1/13/2026
2_Inoc_inter_c_2_f,2.89,1/13/2026
3_Inoc_inter_c_3_f,3.08,1/13/2026
4_Inoc_inter_c_4_f,1.78,1/13/2026
5_Inoc_inter_c_5_f,2.40,1/13/2026
6_Inoc_inter_m_1_f,1.58,1/13/2026
7_Inoc_inter_m_2_f,3.38,1/13/2026
8_Inoc_inter_m_3_f,1.30,1/13/2026
9_Inoc_inter_m_4_f,1.70,1/13/2026
10_Inoc_inter_m_5_f,2.08,1/13/2026
11_Inoc_inter_s_1_f,4.27,1/13/2026
12_Inoc_inter_s_2_f,3.37,1/13/2026
13_Inoc_inter_s_3_f,3.86,1/13/2026
14_Inoc_inter_s_4_f,3.05,1/13/2026
15_Inoc_inter_s_5_f,3.89,1/13/2026
31_Strl_inter_c_1_f,1.61,1/13/2026
32_Strl_inter_c_2_f,1.63,1/13/2026
33_Strl_inter_c_3_f,2.60,1/13/2026
34_Strl_inter_c_4_f,2.22,1/13/2026
35_Strl_inter_c_5_f,1.96,1/13/2026
36_Strl_inter_m_1_f,1.48,1/13/2026
37_Strl_inter_m_2_f,2.07,1/13/2026
38_Strl_inter_m_3_f,1.85,1/13/2026
39_Strl_inter_m_4_f,2.00,1/13/2026
40_Strl_inter_m_5_f,3.73,1/13/2026
41_Strl_inter_s_1_f,3.40,1/13/2026
42_Strl_inter_s_2_f,1.49,1/13/2026
43_Strl_inter_s_3_f,2.48,1/13/2026
44_Strl_inter_s_4_f,1.62,1/13/2026
45_Strl_inter_s_5_f,2.47,1/13/2026
