Name,Pot,Inoculation,Polyculture,Replicate,Water,Water_gal,Num_wheat_pot,Num_fava,hyphal_colonization,arb_vesc_colonization,NPP_g,NPP_g_pp,BNPP_g,BNPP_g_pp,ANPP_g,ANPP_g_pp,Berries_g,Berries_g_pp,Fava_g,percent_BNPP,percent_ANPP,percent_berries,percent_fava,Wheat_NPP,Wheat_NPP_pp,percent_wheat_NPP,percent_berries_of_wheat,percent_ANPP_of_wheat,percent_BNPP_of_wheat
1_Inoc_inter_c_1_BNPP,1,Inoc,Inter,1,Control,48,6,1.00,0.67,0.10,26.85535,3.8365,4.1000,0.6833,12.7300,2.1217,8.1854,1.3642,1.8400,0.1526698,0.4740210,0.3047940,0.0685152,25.01535,4.16923,0.9314848,0.3272131,0.5088875,0.1638994
2_Inoc_inter_c_2_BNPP,2,Inoc,Inter,2,Control,48,6,1.00,0.78,0.57,43.36813,6.1954,5.9300,0.9883,21.9000,3.6500,12.6481,2.1080,2.8900,0.1367364,0.5049791,0.2916457,0.0666388,40.47813,6.74636,0.9333612,0.3124682,0.5410329,0.1464989
3_Inoc_inter_c_3_BNPP,3,Inoc,Inter,3,Control,48,6,1.00,0.46,0.29,25.71718,3.6739,3.8700,0.6450,13.4000,2.2333,5.3672,0.8945,3.0800,0.1504831,0.5210525,0.2087002,0.1197643,22.63718,3.77286,0.8802357,0.2370958,0.5919465,0.1709577
4_Inoc_inter_c_4_ANPP,4,Inoc,Inter,4,Control,48,6,1.00,0.99,0.36,31.88633,4.5552,,,20.9900,3.4983,9.1163,1.5194,1.7800,0.0000000,0.6582758,0.2859009,0.0558233,30.10633,5.01772,0.9441767,0.3028044,0.6971956,0.0000000
5_Inoc_inter_c_5_BNPP,5,Inoc,Inter,5,Control,48,6,1.00,0.98,0.50,17.84043,2.5486,2.6300,0.4383,8.3800,1.3967,4.4304,0.7384,2.4000,0.1474180,0.4697196,0.2483365,0.1345259,15.44043,2.57341,0.8654741,0.2869370,0.5427310,0.1703320
6_Inoc_inter_m_1_BNPP,6,Inoc,Inter,1,Moderate,32,6,1.00,0.97,0.42,24.90404,3.5577,4.1200,0.6867,12.4300,2.0717,6.7740,1.1290,1.5800,0.1654350,0.4991158,0.2720057,0.0634435,23.32404,3.88734,0.9365565,0.2904317,0.5329265,0.1766418
7_Inoc_inter_m_2_BNPP,7,Inoc,Inter,2,Moderate,32,6,1.00,1.00,0.63,21.56238,3.0803,3.0000,0.5000,9.8800,1.6467,5.3024,0.8837,3.3800,0.1391312,0.4582054,0.2459088,0.1567545,18.18238,3.03040,0.8432455,0.2916219,0.5433832,0.1649949
8_Inoc_inter_m_3_BNPP,8,Inoc,Inter,3,Moderate,32,6,1.00,1.00,0.63,51.56158,7.3659,8.0800,1.3467,30.4700,5.0783,11.7116,1.9519,1.3000,0.1567058,0.5909439,0.2271377,0.0252126,50.26158,8.37693,0.9747874,0.2330126,0.6062285,0.1607590
9_Inoc_inter_m_4_BNPP,9,Inoc,Inter,4,Moderate,32,6,1.00,0.91,0.44,30.92346,4.4176,5.1300,0.8550,14.4000,2.4000,9.6935,1.6156,1.7000,0.1658935,0.4656659,0.3134662,0.0549744,29.22346,4.87058,0.9450256,0.3317013,0.4927548,0.1755439
10_Inoc_inter_m_5_BNPP,10,Inoc,Inter,5,Moderate,32,6,1.00,0.94,0.43,29.92204,4.2746,6.8900,1.1483,12.5600,2.0933,8.3920,1.3987,2.0800,0.2302650,0.4197575,0.2804635,0.0695140,27.84204,4.64034,0.9304860,0.3014161,0.4511164,0.2474675
11_Inoc_inter_s_1_BNPP,11,Inoc,Inter,1,Severe,16,6,1.00,0.89,0.18,28.23738,4.0339,5.6100,0.9350,13.0800,2.1800,5.2774,0.8796,4.2700,0.1986728,0.4632158,0.1868934,0.1512180,23.96738,3.99456,0.8487820,0.2201901,0.5457418,0.2340681
12_Inoc_inter_s_2_BNPP,12,Inoc,Inter,2,Severe,16,6,1.00,0.89,0.33,21.21939,3.0313,3.4100,0.5683,9.6600,1.6100,4.7794,0.7966,3.3700,0.1607021,0.4552440,0.2252369,0.1588170,17.84939,2.97490,0.8411830,0.2677621,0.5411950,0.1910429
13_Inoc_inter_s_3_BNPP,13,Inoc,Inter,3,Severe,16,6,1.00,0.98,0.34,19.99941,2.8571,3.7100,0.6183,10.1600,1.6933,2.2694,0.3782,3.8600,0.1855055,0.5080150,0.1134738,0.1930057,16.13941,2.68990,0.8069943,0.1406129,0.6295150,0.2298721
14_Inoc_inter_s_4_BNPP,14,Inoc,Inter,4,Severe,16,6,1.00,0.99,0.46,24.78112,3.5402,6.2700,1.0450,12.3200,2.0533,3.1411,0.5235,3.0500,0.2530152,0.4971527,0.1267546,0.1230776,21.73112,3.62185,0.8769224,0.1445448,0.5669289,0.2885263
15_Inoc_inter_s_5_BNPP,15,Inoc,Inter,5,Severe,16,6,1.00,0.98,0.49,20.73287,2.9618,3.2100,0.5350,8.6100,1.4350,5.0229,0.8371,3.8900,0.1548266,0.4152826,0.2422660,0.1876248,16.84287,2.80715,0.8123752,0.2982194,0.5111955,0.1905851
16_Inoc_mono_c_1_BNPP,16,Inoc,Mono,1,Control,48,12,0.00,0.88,0.31,33.35786,2.7798,5.2300,0.4358,19.0600,1.5883,9.0679,0.7557,0.0000,0.1567846,0.5713796,0.2718358,0.0000000,33.35786,2.77982,1.0000000,0.2718358,0.5713796,0.1567846
17_Inoc_mono_c_2_BNPP,17,Inoc,Mono,2,Control,48,12,0.00,0.99,0.52,34.75684,2.8964,5.5000,0.4583,18.6000,1.5500,10.6568,0.8881,0.0000,0.1582422,0.5351465,0.3066113,0.0000000,34.75684,2.89640,1.0000000,0.3066113,0.5351465,0.1582422
18_Inoc_mono_c_3_BNPP,18,Inoc,Mono,3,Control,48,12,0.00,1.00,0.52,37.88920,3.1574,6.5200,0.5433,19.9100,1.6592,11.4592,0.9549,0.0000,0.1720807,0.5254796,0.3024397,0.0000000,37.88920,3.15743,1.0000000,0.3024397,0.5254796,0.1720807
19_Inoc_mono_c_4_BNPP,19,Inoc,Mono,4,Control,48,12,0.00,1.00,0.35,31.99551,2.6663,3.6900,0.3075,18.2200,1.5183,10.0855,0.8405,0.0000,0.1153287,0.5694549,0.3152164,0.0000000,31.99551,2.66629,1.0000000,0.3152164,0.5694549,0.1153287
20_Inoc_mono_c_5_BNPP,20,Inoc,Mono,5,Control,48,12,0.00,1.00,0.36,36.60465,3.0504,6.3800,0.5317,18.7000,1.5583,11.5247,0.9604,0.0000,0.1742948,0.5108641,0.3148411,0.0000000,36.60465,3.05039,1.0000000,0.3148411,0.5108641,0.1742948
21_Inoc_mono_m_1_BNPP,21,Inoc,Mono,1,Moderate,32,12,0.00,1.00,0.44,32.33716,2.6948,6.1400,0.5117,16.2100,1.3508,9.9872,0.8323,0.0000,0.1898744,0.5012809,0.3088447,0.0000000,32.33716,2.69476,1.0000000,0.3088447,0.5012809,0.1898744
22_Inoc_mono_m_2_BNPP,22,Inoc,Mono,2,Moderate,32,12,0.00,1.00,0.76,35.70455,2.9754,7.0100,0.5842,18.0400,1.5033,10.6546,0.8879,0.0000,0.1963335,0.5052577,0.2984087,0.0000000,35.70455,2.97538,1.0000000,0.2984087,0.5052577,0.1963335
23_Inoc_mono_m_3_BNPP,23,Inoc,Mono,3,Moderate,32,12,0.00,0.99,0.61,43.77606,3.6480,8.9600,0.7467,24.6100,2.0508,10.2061,0.8505,0.0000,0.2046781,0.5621794,0.2331425,0.0000000,43.77606,3.64801,1.0000000,0.2331425,0.5621794,0.2046781
24_Inoc_mono_m_4_BNPP,24,Inoc,Mono,4,Moderate,32,12,0.00,1.00,0.57,29.81465,2.4846,4.6900,0.3908,18.0400,1.5033,7.0847,0.5904,0.0000,0.1573052,0.6050717,0.2376231,0.0000000,29.81465,2.48455,1.0000000,0.2376231,0.6050717,0.1573052
25_Inoc_mono_m_5_BNPP,25,Inoc,Mono,5,Moderate,32,12,0.00,1.00,0.60,43.09213,3.5910,7.5300,0.6275,23.6500,1.9708,11.9121,0.9927,0.0000,0.1747419,0.5488241,0.2764340,0.0000000,43.09213,3.59101,1.0000000,0.2764340,0.5488241,0.1747419
