"Water","Inoculation","Polyculture","n","mean","sd","se","median","q25","q75","iqr","min","max"
"Control","Strl","Mono",5,0.47,0.18,0.0804984471899924,0.49,0.44,0.52,0.08,0.2,0.7
"Control","Strl","Inter",5,0.9,0.326573115856159,0.146047937335657,0.92,0.69,0.95,0.26,0.54,1.4
"Control","Inoc","Mono",5,0.456,0.0923579991121505,0.0413037528561268,0.46,0.44,0.53,0.09,0.31,0.54
"Control","Inoc","Inter",4,0.69,0.226715680975093,0.113357840487546,0.665,0.5975,0.7575,0.16,0.44,0.99
"Moderate","Strl","Mono",5,0.56,0.132098448136229,0.0590762219509677,0.51,0.48,0.58,0.1,0.45,0.78
"Moderate","Strl","Inter",5,0.81,0.395411178395351,0.17683325479106,0.71,0.56,0.89,0.33,0.44,1.45
"Moderate","Inoc","Mono",5,0.572,0.134238593556399,0.0600333240792145,0.58,0.51,0.63,0.12,0.39,0.75
"Moderate","Inoc","Inter",5,0.91,0.342855654758675,0.153329710102119,0.86,0.69,1.15,0.46,0.5,1.35
"Severe","Strl","Mono",5,0.346,0.159624559513879,0.071386273190299,0.33,0.23,0.35,0.12,0.21,0.61
"Severe","Strl","Inter",5,0.66,0.26429150572805,0.118194754536739,0.56,0.53,0.82,0.29,0.36,1.03
"Severe","Inoc","Mono",5,0.628,0.218906372680194,0.0978979060041633,0.55,0.45,0.75,0.3,0.44,0.95
"Severe","Inoc","Inter",5,0.744,0.234158066271483,0.104718670732587,0.62,0.57,0.94,0.37,0.54,1.05
