Name,Pot,Inoculation,Polyculture,Water,Replicate,Biomass_g,Biomass_g_pp,Num_wheat_pot,Date_weighed
1_Inoc_inter_c_1_b,1,Inoc,Inter,Control,1,8.18535,1.36423,6.00000,10/2/2025
2_Inoc_inter_c_2_b,2,Inoc,Inter,Control,2,12.64813,2.10802,6.00000,10/2/2025
3_Inoc_inter_c_3_b,3,Inoc,Inter,Control,3,5.36718,0.89453,6.00000,10/2/2025
4_Inoc_inter_c_4_b,4,Inoc,Inter,Control,4,9.11633,1.51939,6.00000,10/2/2025
5_Inoc_inter_c_5_b,5,Inoc,Inter,Control,5,4.43043,0.73841,6.00000,10/2/2025
6_Inoc_inter_m_1_b,6,Inoc,Inter,Moderate,1,6.77404,1.12901,6.00000,10/2/2025
7_Inoc_inter_m_2_b,7,Inoc,Inter,Moderate,2,5.30238,0.88373,6.00000,10/2/2025
8_Inoc_inter_m_3_b,8,Inoc,Inter,Moderate,3,11.71158,1.95193,6.00000,10/2/2025
9_Inoc_inter_m_4_b,9,Inoc,Inter,Moderate,4,9.69346,1.61558,6.00000,10/2/2025
10_Inoc_inter_m_5_b,10,Inoc,Inter,Moderate,5,8.39204,1.39867,6.00000,10/2/2025
11_Inoc_inter_s_1_b,11,Inoc,Inter,Severe,1,5.27738,0.87956,6.00000,10/2/2025
12_Inoc_inter_s_2_b,12,Inoc,Inter,Severe,2,4.77939,0.79657,6.00000,10/2/2025
13_Inoc_inter_s_3_b,13,Inoc,Inter,Severe,3,2.26941,0.37824,6.00000,10/2/2025
14_Inoc_inter_s_4_b,14,Inoc,Inter,Severe,4,3.14112,0.52352,6.00000,10/2/2025
15_Inoc_inter_s_5_b,15,Inoc,Inter,Severe,5,5.02287,0.83715,6.00000,10/2/2025
16_Inoc_mono_c_1_b,16,Inoc,Mono,Control,1,9.06786,0.75566,12.00000,10/2/2025
17_Inoc_mono_c_2_b,17,Inoc,Mono,Control,2,10.65684,0.88807,12.00000,10/2/2025
18_Inoc_mono_c_3_b,18,Inoc,Mono,Control,3,11.45920,0.95493,12.00000,10/2/2025
19_Inoc_mono_c_4_b,19,Inoc,Mono,Control,4,10.08551,0.84046,12.00000,10/2/2025
20_Inoc_mono_c_5_b,20,Inoc,Mono,Control,5,11.52465,0.96039,12.00000,10/2/2025
21_Inoc_mono_m_1_b,21,Inoc,Mono,Moderate,1,9.98716,0.83226,12.00000,10/2/2025
22_Inoc_mono_m_2_b,22,Inoc,Mono,Moderate,2,10.65455,0.88788,12.00000,10/2/2025
23_Inoc_mono_m_3_b,23,Inoc,Mono,Moderate,3,10.20606,0.85051,12.00000,10/2/2025
24_Inoc_mono_m_4_b,24,Inoc,Mono,Moderate,4,7.08465,0.59039,12.00000,10/2/2025
25_Inoc_mono_m_5_b,25,Inoc,Mono,Moderate,5,11.91213,0.99268,12.00000,10/2/2025
26_Inoc_mono_s_1_b,26,Inoc,Mono,Severe,1,1.25847,0.10487,12.00000,10/2/2025
27_Inoc_mono_s_2_b,27,Inoc,Mono,Severe,2,1.39350,0.11613,12.00000,10/2/2025
28_Inoc_mono_s_3_b,28,Inoc,Mono,Severe,3,0.56621,0.04718,12.00000,10/2/2025
29_Inoc_mono_s_4_b,29,Inoc,Mono,Severe,4,1.81185,0.15099,12.00000,10/2/2025
30_Inoc_mono_s_5_b,30,Inoc,Mono,Severe,5,3.44808,0.28734,12.00000,10/2/2025
31_Strl_inter_c_1_b,31,Strl,Inter,Control,1,8.83247,1.47208,6.00000,10/2/2025
32_Strl_inter_c_2_b,32,Strl,Inter,Control,2,7.46331,1.24389,6.00000,10/2/2025
