"Water","Inoculation","Polyculture","n","mean","sd","se","median","q25","q75","iqr","min","max"
"Control","Strl","Mono",5,1.258,0.244989795705862,0.109562767398419,1.4,1.05,1.42,0.37,0.94,1.48
"Control","Strl","Inter",5,2.522,0.604665196617103,0.270414496652824,2.41,2.06,2.68,0.62,1.98,3.48
"Control","Inoc","Mono",5,1.576,0.0531977443130815,0.0237907545067406,1.56,1.55,1.59,0.04,1.52,1.66
"Control","Inoc","Inter",5,2.58,0.964079872209767,0.43114962600007,2.23,2.12,3.5,1.38,1.4,3.65
"Moderate","Strl","Mono",5,1.618,0.324376324660108,0.145065502446309,1.58,1.33,1.92,0.59,1.28,1.98
"Moderate","Strl","Inter",5,2.11,0.529008506547863,0.236579796263333,2.09,1.86,2.41,0.55,1.4,2.79
"Moderate","Inoc","Mono",5,1.674,0.314054135460751,0.140449279101033,1.5,1.5,1.97,0.47,1.35,2.05
"Moderate","Inoc","Inter",5,2.658,1.37995289774688,0.617133697021966,2.09,2.07,2.4,0.33,1.65,5.08
"Severe","Strl","Mono",5,0.984,0.28987928522059,0.129637957404458,0.85,0.85,0.9,0.05,0.82,1.5
"Severe","Strl","Inter",5,1.646,0.441622010321044,0.197499367087593,1.51,1.27,1.94,0.67,1.25,2.26
"Severe","Inoc","Mono",5,1.61,0.302158898594763,0.135129567452871,1.44,1.44,1.93,0.49,1.3,1.94
"Severe","Inoc","Inter",5,1.794,0.310048383321055,0.138657852283958,1.69,1.61,2.05,0.44,1.44,2.18
