Name,Pot,Inoculation,Polyculture,Water,Replicate,Biomass_g,Biomass_g_pp,Num_wheat_pot,Date_weighed,Note
1_Inoc_inter_c_1_BNPP,1,Inoc,Inter,Control,1,4.10,0.68,6.00000,1/9/2026,
2_Inoc_inter_c_2_BNPP,2,Inoc,Inter,Control,2,5.93,0.99,6.00000,1/9/2026,
3_Inoc_inter_c_3_BNPP,3,Inoc,Inter,Control,3,3.87,0.65,6.00000,1/10/2026,
5_Inoc_inter_c_5_BNPP,5,Inoc,Inter,Control,5,2.63,0.44,6.00000,1/9/2026,
6_Inoc_inter_m_1_BNPP,6,Inoc,Inter,Moderate,1,4.12,0.69,6.00000,1/10/2026,
7_Inoc_inter_m_2_BNPP,7,Inoc,Inter,Moderate,2,3.00,0.50,6.00000,1/10/2026,
8_Inoc_inter_m_3_BNPP,8,Inoc,Inter,Moderate,3,8.08,1.35,6.00000,1/9/2026,
9_Inoc_inter_m_4_BNPP,9,Inoc,Inter,Moderate,4,5.13,0.86,6.00000,1/10/2026,
10_Inoc_inter_m_5_BNPP,10,Inoc,Inter,Moderate,5,6.89,1.15,6.00000,1/9/2026,
11_Inoc_inter_s_1_BNPP,11,Inoc,Inter,Severe,1,5.61,0.94,6.00000,1/10/2026,
12_Inoc_inter_s_2_BNPP,12,Inoc,Inter,Severe,2,3.41,0.57,6.00000,1/10/2026,
13_Inoc_inter_s_3_BNPP,13,Inoc,Inter,Severe,3,3.71,0.62,6.00000,1/10/2026,
14_Inoc_inter_s_4_BNPP,14,Inoc,Inter,Severe,4,6.27,1.05,6.00000,1/10/2026,
15_Inoc_inter_s_5_BNPP,15,Inoc,Inter,Severe,5,3.21,0.54,6.00000,1/10/2026,
16_Inoc_mono_c_1_BNPP,16,Inoc,Mono,Control,1,5.23,0.44,12.00000,1/10/2026,
17_Inoc_mono_c_2_BNPP,17,Inoc,Mono,Control,2,5.50,0.46,12.00000,1/10/2026,
18_Inoc_mono_c_3_BNPP,18,Inoc,Mono,Control,3,6.52,0.54,12.00000,1/10/2026,
19_Inoc_mono_c_4_BNPP,19,Inoc,Mono,Control,4,3.69,0.31,12.00000,1/10/2026,
20_Inoc_mono_c_5_BNPP,20,Inoc,Mono,Control,5,6.38,0.53,12.00000,1/10/2026,
21_Inoc_mono_m_1_BNPP,21,Inoc,Mono,Moderate,1,6.14,0.51,12.00000,1/9/2026,
22_Inoc_mono_m_2_BNPP,22,Inoc,Mono,Moderate,2,7.01,0.58,12.00000,1/9/2026,
23_Inoc_mono_m_3_BNPP,23,Inoc,Mono,Moderate,3,8.96,0.75,12.00000,1/9/2026,
24_Inoc_mono_m_4_BNPP,24,Inoc,Mono,Moderate,4,4.69,0.39,12.00000,1/10/2026,
25_Inoc_mono_m_5_BNPP,25,Inoc,Mono,Moderate,5,7.53,0.63,12.00000,1/10/2026,
26_Inoc_mono_s_1_BNPP,26,Inoc,Mono,Severe,1,8.95,0.75,12.00000,1/10/2026,
27_Inoc_mono_s_2_BNPP,27,Inoc,Mono,Severe,2,6.65,0.55,12.00000,1/10/2026,
28_Inoc_mono_s_3_BNPP,28,Inoc,Mono,Severe,3,5.25,0.44,12.00000,1/10/2026,
29_Inoc_mono_s_4_BNPP,29,Inoc,Mono,Severe,4,5.42,0.45,12.00000,1/10/2026,
30_Inoc_mono_s_5_BNPP,30,Inoc,Mono,Severe,5,11.43,0.95,12.00000,1/9/2026,
31_Strl_inter_c_1_BNPP,31,Strl,Inter,Control,1,5.72,0.95,6.00000,1/10/2026,
32_Strl_inter_c_2_BNPP,32,Strl,Inter,Control,2,5.5,0.92,6.00000,1/10/2026,
33_Strl_inter_c_3_BNPP,33,Strl,Inter,Control,3,4.16,0.69,6.00000,1/10/2026,
34_Strl_inter_c_4_BNPP,34,Strl,Inter,Control,4,3.25,0.54,6.00000,1/10/2026,
35_Strl_inter_c_5_BNPP,35,Strl,Inter,Control,5,8.42,1.40,6.00000,1/10/2026,
36_Strl_inter_m_1_BNPP,36,Strl,Inter,Moderate,1,8.7,1.45,6.00000,1/10/2026,
37_Strl_inter_m_2_BNPP,37,Strl,Inter,Moderate,2,3.38,0.56,6.00000,1/10/2026,
38_Strl_inter_m_3_BNPP,38,Strl,Inter,Moderate,3,4.23,0.71,6.00000,1/10/2026,
39_Strl_inter_m_4_BNPP,39,Strl,Inter,Moderate,4,5.32,0.89,6.00000,1/10/2026,
40_Strl_inter_m_5_BNPP,40,Strl,Inter,Moderate,5,2.66,0.44,6.00000,1/10/2026,
41_Strl_inter_s_1_BNPP,41,Strl,Inter,Severe,1,6.17,1.03,6.00000,1/10/2026,
42_Strl_inter_s_2_BNPP,42,Strl,Inter,Severe,2,2.14,0.36,6.00000,1/10/2026,Error_cut_ends
