Name,Pot,Inoculation,Polyculture,Replicate,Water,Water_gal,Num_wheat_pot,BNPP_g,BNPP_g_pp,ANPP_g,ANPP_g_pp,Berries_g,Berries_g_pp,NPP_g,NPP_g_pp,percent_BNPP,percent_ANPP,percent_berries
1_Inoc_inter_c_1_BNPP,1,Inoc,Inter,1,Control,48,6,4.10,0.68,12.73,2.12,8.18535,1.36423,25.02,4.17,16.39,50.89,32.72
2_Inoc_inter_c_2_BNPP,2,Inoc,Inter,2,Control,48,6,5.93,0.99,21.90,3.65,12.64813,2.10802,40.48,6.75,14.65,54.10,31.25
3_Inoc_inter_c_3_BNPP,3,Inoc,Inter,3,Control,48,6,3.87,0.65,13.40,2.23,5.36718,0.89453,22.64,3.77,17.10,59.19,23.71
5_Inoc_inter_c_5_BNPP,5,Inoc,Inter,5,Control,48,6,2.63,0.44,8.38,1.40,4.43043,0.73841,15.44,2.57,17.03,54.27,28.69
6_Inoc_inter_m_1_BNPP,6,Inoc,Inter,1,Moderate,32,6,4.12,0.69,12.43,2.07,6.77404,1.12901,23.32,3.89,17.66,53.29,29.04
7_Inoc_inter_m_2_BNPP,7,Inoc,Inter,2,Moderate,32,6,3.00,0.50,9.88,1.65,5.30238,0.88373,18.18,3.03,16.50,54.34,29.16
8_Inoc_inter_m_3_BNPP,8,Inoc,Inter,3,Moderate,32,6,8.08,1.35,30.47,5.08,11.71158,1.95193,50.26,8.38,16.08,60.62,23.30
9_Inoc_inter_m_4_BNPP,9,Inoc,Inter,4,Moderate,32,6,5.13,0.86,14.40,2.40,9.69346,1.61558,29.22,4.87,17.55,49.28,33.17
10_Inoc_inter_m_5_BNPP,10,Inoc,Inter,5,Moderate,32,6,6.89,1.15,12.56,2.09,8.39204,1.39867,27.84,4.64,24.75,45.11,30.14
11_Inoc_inter_s_1_BNPP,11,Inoc,Inter,1,Severe,16,6,5.61,0.94,13.08,2.18,5.27738,0.87956,23.97,3.99,23.41,54.57,22.02
12_Inoc_inter_s_2_BNPP,12,Inoc,Inter,2,Severe,16,6,3.41,0.57,9.66,1.61,4.77939,0.79657,17.85,2.97,19.10,54.12,26.78
13_Inoc_inter_s_3_BNPP,13,Inoc,Inter,3,Severe,16,6,3.71,0.62,10.16,1.69,2.26941,0.37824,16.14,2.69,22.99,62.95,14.06
14_Inoc_inter_s_4_BNPP,14,Inoc,Inter,4,Severe,16,6,6.27,1.05,12.32,2.05,3.14112,0.52352,21.73,3.62,28.85,56.69,14.45
15_Inoc_inter_s_5_BNPP,15,Inoc,Inter,5,Severe,16,6,3.21,0.54,8.61,1.44,5.02287,0.83715,16.84,2.81,19.06,51.12,29.82
16_Inoc_mono_c_1_BNPP,16,Inoc,Mono,1,Control,48,12,5.23,0.44,19.06,1.59,9.06786,0.75566,33.36,2.78,15.68,57.14,27.18
17_Inoc_mono_c_2_BNPP,17,Inoc,Mono,2,Control,48,12,5.50,0.46,18.60,1.55,10.65684,0.88807,34.76,2.90,15.82,53.51,30.66
18_Inoc_mono_c_3_BNPP,18,Inoc,Mono,3,Control,48,12,6.52,0.54,19.91,1.66,11.45920,0.95493,37.89,3.16,17.21,52.55,30.24
19_Inoc_mono_c_4_BNPP,19,Inoc,Mono,4,Control,48,12,3.69,0.31,18.22,1.52,10.08551,0.84046,32.00,2.67,11.53,56.95,31.52
20_Inoc_mono_c_5_BNPP,20,Inoc,Mono,5,Control,48,12,6.38,0.53,18.70,1.56,11.52465,0.96039,36.60,3.05,17.43,51.09,31.48
21_Inoc_mono_m_1_BNPP,21,Inoc,Mono,1,Moderate,32,12,6.14,0.51,16.21,1.35,9.98716,0.83226,32.34,2.69,18.99,50.13,30.88
